Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits,Traditional Splits
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2024-25,MIL,67,2289,2036,793,1319,60.1,14,63,22.2,436,707,61.7,147,651,798,433,206,58,78,155,3845.1,55,11,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,MIL,73,2567,2222,837,1369,61.1,34,124,27.4,514,782,65.7,196,645,841,476,250,87,79,210,4193.2,57,10,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,MIL,63,2024,1959,707,1278,55.3,47,171,27.5,498,772,64.5,137,605,742,359,246,52,51,197,3450.9,46,6,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,MIL,67,2204,2002,689,1245,55.3,71,242,29.3,553,766,72.2,134,644,778,388,219,72,91,212,3787.6,46,4,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,MIL,61,2013,1717,626,1100,56.9,67,221,30.3,398,581,68.5,97,574,671,357,207,72,73,168,3285.7,41,7,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,MIL,63,1917,1857,685,1238,55.3,89,293,30.4,398,629,63.3,140,716,856,354,230,61,66,195,3566.2,56,4,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,MIL,72,2358,1994,721,1247,57.8,52,203,25.6,500,686,72.9,159,739,898,424,268,92,110,232,4045.6,54,5,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,MIL,75,2756,2014,742,1402,52.9,43,140,30.7,487,641,76.0,156,597,753,361,223,109,106,231,3881.1,42,1,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,MIL,80,2845,1832,656,1259,52.1,49,180,27.2,471,612,77.0,142,558,700,434,234,131,151,246,3935.0,32,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,MIL,80,2823,1350,513,1013,50.6,28,109,25.7,296,409,72.4,113,499,612,345,208,94,113,258,3014.9,21,5,-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,MIL,81,2541,1030,383,780,49.1,7,44,15.9,257,347,74.1,100,442,542,207,173,73,85,254,2291.9,10,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,MIL,77,1897,525,173,418,41.4,41,118,34.7,138,202,68.3,78,261,339,150,122,60,61,173,1397.8,2,0,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
