Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats,Career Regular Season Stats
Season,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1,Unnamed: 38_level_1,Unnamed: 39_level_1,Unnamed: 40_level_1,Unnamed: 41_level_1,Unnamed: 42_level_1,Unnamed: 43_level_1,Unnamed: 44_level_1,Unnamed: 45_level_1,Unnamed: 46_level_1,Unnamed: 47_level_1,Unnamed: 48_level_1,Unnamed: 49_level_1,Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1,Unnamed: 54_level_1,Unnamed: 55_level_1,Unnamed: 56_level_1,Unnamed: 57_level_1,Unnamed: 58_level_1,Unnamed: 59_level_1
2010-11,BOS,39.0,37,36,752,341,134,201,66.7,0,0,0.0,73,131,55.7,48,130,178,26,16,42,56,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,CLE,38.0,53,53,1240,636,262,463,56.6,0,1,0.0,112,226,49.6,93,262,355,80,15,62,105,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,PHX,37.0,75,75,2252,1333,512,841,60.9,0,1,0.0,309,519,59.5,187,446,633,126,49,108,168,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,MIA,36.0,33,33,945,470,191,329,58.1,0,0,0.0,88,178,49.4,99,159,258,45,19,54,98,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,PHX,36.0,28,28,803,362,140,229,61.1,0,0,0.0,82,160,51.3,67,229,296,48,13,34,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,TOT,36.0,61,61,1748,832,331,558,59.3,0,0,0.0,170,338,50.3,166,388,554,93,32,88,181,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,MIA,35.0,40,39,1135,690,283,479,59.1,0,0,0.0,124,294,42.2,97,200,297,79,8,55,95,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,MIA,34.0,59,58,1806,1181,480,800,60.0,0,0,0.0,221,471,46.9,172,369,541,113,23,104,168,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05,MIA,33.0,73,73,2490,1669,658,1095,60.1,0,0,0.0,353,765,46.1,253,507,760,200,36,171,203,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04,LAL,32.0,67,67,2464,1439,554,948,58.4,0,0,0.0,331,676,49.0,246,523,769,196,34,166,195,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03,LAL,31.0,67,66,2535,1841,695,1211,57.4,0,0,0.0,451,725,62.2,259,483,742,206,38,159,196,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02,LAL,30.0,67,66,2421,1822,712,1229,57.9,0,1,0.0,398,717,55.5,235,480,715,200,41,137,171,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01,LAL,29.0,74,74,2924,2125,813,1422,57.2,0,2,0.0,499,972,51.3,291,649,940,277,47,204,218,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-00,LAL,28.0,79,79,3163,2344,956,1665,57.4,0,1,0.0,432,824,52.4,336,742,1078,299,36,239,223,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-99,LAL,27.0,49,49,1705,1289,510,885,57.6,0,1,0.0,269,498,54.0,187,338,525,114,36,82,122,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-98,LAL,26.0,60,57,2175,1699,670,1147,58.4,0,0,0.0,359,681,52.7,208,473,681,142,39,144,175,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-97,LAL,25.0,51,51,1943,1336,552,991,55.7,0,4,0.0,232,479,48.4,195,445,640,159,46,147,146,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-96,ORL,24.0,54,52,1946,1434,592,1033,57.3,1,2,50.0,249,511,48.7,182,414,596,155,34,115,155,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-95,ORL,23.0,79,79,2923,2315,930,1594,58.3,0,5,0.0,455,854,53.3,328,573,901,214,73,192,204,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-94,ORL,22.0,81,81,3224,2377,953,1591,59.9,0,2,0.0,471,850,55.4,384,688,1072,195,76,231,222,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-93,ORL,21.0,81,81,3071,1893,733,1304,56.2,0,2,0.0,427,721,59.2,342,780,1122,152,60,286,307,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall:,,,1207,1197,41916,28596,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,4146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
